,epoch,lr,tiempo,trn_loss,val_loss,val_acc,val_auc,f1_micro,f1_macro,f1_weighted,best_epoch,best_loss,best_acc,best_auc,best_f1_micro,best_f1_macro,best_f1_weighted
0,0,0.000208,4.65,1.9603230595588683,1.9383373073723218,0.06301369863013699,0.5827910793079012,0.06301369863013699,0.06497774698127057,0.05369424524317676,0,1.9383373073723218,0.06301369863013699,0.5827910793079012,0.06301369863013699,0.06497774698127057,0.05369424524317676
1,1,0.000406,9.2,1.5342577338218688,4.268964848902128,0.04982876712328767,0.5329117563013701,0.04982876712328767,0.03715434944621708,0.00853597546341414,0,1.9383373073723218,0.06301369863013699,0.5827910793079012,0.06301369863013699,0.06497774698127057,0.05369424524317676
2,2,0.000604,13.86,1.3563388228416442,3.5404704389200634,0.055993150684931506,0.5809916309806088,0.055993150684931506,0.05229502470045313,0.011545237961694047,0,1.9383373073723218,0.06301369863013699,0.5827910793079012,0.06301369863013699,0.06497774698127057,0.05369424524317676
3,3,0.000802,18.53,1.1306308448314666,2.508561357039295,0.06404109589041096,0.616047755332459,0.06404109589041096,0.07438500313739872,0.05453216392845603,3,2.508561357039295,0.06404109589041096,0.616047755332459,0.06404109589041096,0.07438500313739872,0.05453216392845603
4,4,0.001,23.21,1.1502217173576355,2.472422875157774,0.12054794520547946,0.6351709356997068,0.12054794520547946,0.12147616230949923,0.15183165450015104,4,2.472422875157774,0.12054794520547946,0.6351709356997068,0.12054794520547946,0.12147616230949923,0.15183165450015104
5,5,0.0009992984343599972,27.86,1.2713758289813994,1.2067114752653527,0.43304794520547946,0.6594585252479239,0.43304794520547946,0.2014787472382337,0.5390908200415622,5,1.2067114752653527,0.43304794520547946,0.6594585252479239,0.43304794520547946,0.2014787472382337,0.5390908200415622
6,6,0.0009971957261040178,32.5,1.1747823894023894,1.3202027080401981,0.4238013698630137,0.6718073942911355,0.4238013698630137,0.2371552418983395,0.5317278982997925,5,1.2067114752653527,0.43304794520547946,0.6594585252479239,0.43304794520547946,0.2014787472382337,0.5390908200415622
7,7,0.0009936978355870657,37.08,1.0094603419303894,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
8,8,0.000988814677959844,41.7,1.0913503110408782,0.9364614756139991,0.6523972602739726,0.661771833200085,0.6523972602739726,0.2881937452939499,0.7075443706570576,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
9,9,0.0009825600950631853,46.25,0.9857345879077911,0.9276288959057364,0.6866438356164384,0.689151678113545,0.6866438356164384,0.29014684322312434,0.7301105475249459,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
10,10,0.0009749518161918488,50.79,1.0135972499847412,0.6812410379109317,0.8481164383561643,0.6810075424613673,0.8481164383561643,0.2573546214215326,0.814275705893254,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
11,11,0.0009660114078389076,55.32,0.9607494533061981,0.9751802678283763,0.5981164383561643,0.6687238109469448,0.5981164383561643,0.24836635740015006,0.671266591247024,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
12,12,0.0009557642125631821,59.86,0.9137337386608124,0.9359695845576999,0.7142123287671233,0.6799117082308579,0.7142123287671233,0.28047806788574375,0.7464656611696441,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
13,13,0.000944239277153003,64.41,0.8821186244487762,0.9862422960465902,0.6193493150684931,0.6839916269469747,0.6193493150684931,0.2576157941605054,0.685377135079164,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
14,14,0.0009314692702899341,68.93,1.1341587960720063,1.5783601077656224,0.20599315068493151,0.6814979015676784,0.20599315068493151,0.16256104218452144,0.26743662080854796,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
15,15,0.0009174903899458449,73.43,0.9086224198341369,1.3336722754860577,0.29126712328767124,0.6974220733435988,0.29126712328767124,0.2570507132718077,0.38778679446469433,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
16,16,0.000902342260775827,77.95,0.8711959898471833,1.0214883554471683,0.5181506849315068,0.7047672840430537,0.5181506849315068,0.3036344754658523,0.6155438025626507,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
17,17,0.0008860678217978036,82.44,0.9646583378314972,1.4763971212996196,0.25616438356164384,0.6948109933911302,0.25616438356164384,0.21501561403550426,0.3398585643755696,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
18,18,0.0008687132046772183,86.94,0.9544005036354065,0.8156533749034144,0.7196917808219178,0.6975992900988768,0.7196917808219179,0.30964405694143604,0.752686691039724,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
19,19,0.0008503276029618175,91.47,0.9193435370922088,0.9018669891847323,0.6595890410958904,0.697457869644249,0.6595890410958904,0.27752833431620705,0.7158054998143,7,0.6075697475406405,0.8583904109589041,0.6441876767268092,0.8583904109589041,0.2635156205179854,0.8151995438185102
